index,age_upon_outcome,animal_id,animal_type,name,breed,color1,color2,date_of_birth,outcome_subtype,outcome_type,outcome_month,outcome_year
22469,7 years,A730654,Cat,Tabra,domestic shorthair,brown,,2009-07-08 00:00:00,,Adoption,7,2016
22470,4 months,A759733,Cat,*Eve,domestic shorthair,Breed Specific,,2017-07-26 00:00:00,,Adoption,11,2017
22471,3 months,A742135,Cat,Shadow,domestic shorthair,black,,2016-10-15 00:00:00,,Adoption,1,2017
22472,3 months,A756612,Cat,*Brutus,domestic shorthair,black,white,2017-06-05 00:00:00,,Adoption,9,2017
22473,2 months,A725797,Cat,Pistachio,domestic shorthair,blue,,2016-03-03 00:00:00,,Adoption,5,2016
22474,15 years,A707923,Cat,Little Man,domestic shorthair,orange,,2000-07-20 00:00:00,Medical,Euthanasia,7,2015
22475,1 month,A752812,Cat,*Sandra,domestic shorthair,brown,,2017-05-06 00:00:00,,Adoption,7,2017
22476,2 months,A727199,Cat,*Gidget,domestic longhair,black,,2016-04-14 00:00:00,,Adoption,7,2016
22477,1 year,A723577,Cat,Whistle,domestic mediumhair,orange,,2015-04-03 00:00:00,,Adoption,5,2016
22478,1 month,A742827,Cat,Granite,domestic shorthair,black,,2016-11-29 00:00:00,,Adoption,1,2017
22479,1 month,A749709,Cat,Cc,domestic shorthair,Breed Specific,,2017-04-20 00:00:00,,Adoption,6,2017
22480,3 months,A726330,Cat,Simba,domestic shorthair,orange,,2016-04-02 00:00:00,,Adoption,7,2016
22481,9 months,A717708,Cat,Rumi,domestic shorthair,cream,,2015-03-13 00:00:00,Partner,Transfer,12,2015
22482,7 years,A704064,Cat,Chai,domestic shorthair,Breed Specific,,2008-06-01 00:00:00,,Return to Owner,6,2015
22483,2 months,A751314,Cat,*Fireworx,domestic shorthair,brown ,white,2017-04-14 00:00:00,,Adoption,6,2017
22484,1 year,A734712,Cat,*Bernice,domestic shorthair,black,,2015-09-14 00:00:00,Partner,Transfer,9,2016
22485,2 months,A736184,Cat,Frankie,domestic shorthair,brown ,white,2016-08-15 00:00:00,,Adoption,10,2016
22486,3 months,A736648,Cat,Twig,siamese,chocolate,,2016-07-14 00:00:00,Partner,Transfer,10,2016
22487,3 weeks,A700774,Cat,,domestic shorthair,Breed Specific,,2015-03-28 00:00:00,Partner,Transfer,4,2015
22488,3 weeks,A709162,Cat,,siamese,lilac,,2015-07-17 00:00:00,Partner,Transfer,8,2015
22489,2 months,A710340,Cat,*Herbie,domestic shorthair,orange ,white,2015-07-21 00:00:00,Foster,Adoption,10,2015
22490,3 months,A750156,Cat,*Peanut,domestic shorthair,lynx,,2017-04-16 00:00:00,Foster,Adoption,7,2017
22491,1 month,A735605,Cat,,domestic shorthair,blue,white,2016-08-19 00:00:00,Partner,Transfer,9,2016
22492,1 weeks,A757431,Cat,,domestic shorthair,black,white,2017-08-26 00:00:00,Partner,Transfer,9,2017
22493,3 months,A699365,Cat,,domestic shorthair,cream,,2015-03-11 00:00:00,Foster,Adoption,7,2015
22494,3 months,A762030,Cat,*Pumpkin,domestic shorthair,white,black,2017-08-29 00:00:00,,Adoption,12,2017
22495,2 weeks,A750701,Cat,,domestic shorthair,gray,,2017-05-15 00:00:00,Partner,Transfer,5,2017
22496,1 month,A749474,Cat,Jeep,domestic shorthair,blue,white,2017-04-08 00:00:00,Partner,Transfer,6,2017
22497,3 years,A704775,Cat,,domestic shorthair,black,white,2012-06-09 00:00:00,Suffering,Euthanasia,6,2015
22498,2 months,A753110,Cat,Carmen,domestic shorthair,Breed Specific,,2017-04-16 00:00:00,,Adoption,7,2017
22499,2 months,A753075,Cat,Nina Rae,domestic shorthair,black,,2017-04-16 00:00:00,,Adoption,7,2017
22500,1 year,A707957,Cat,*Andy,domestic shorthair,brown,,2014-07-20 00:00:00,,Adoption,8,2015
22501,3 years,A763808,Cat,Angel,domestic shorthair,gray,,2014-06-16 00:00:00,,Return to Owner,12,2017
22502,2 months,A736289,Cat,,domestic shorthair,white,brown,2016-08-08 00:00:00,,Adoption,10,2016
22503,1 year,A720236,Cat,*Twila,domestic shorthair,brown,,2015-02-05 00:00:00,Partner,Transfer,2,2016
22504,2 months,A747190,Cat,*Frankie,domestic shorthair,blue,,2017-02-16 00:00:00,,Adoption,4,2017
22505,9 months,A742531,Cat,*Stevie,domestic shorthair,cream,,2016-05-23 00:00:00,Foster,Adoption,2,2017
22506,10 months,A702468,Cat,,domestic shorthair,black,,2014-07-14 00:00:00,SCRP,Transfer,5,2015
22507,5 months,A708646,Cat,*Summer,domestic shorthair,brown,,2015-07-12 00:00:00,,Adoption,1,2016
22508,3 weeks,A734128,Cat,,domestic shorthair,blue,,2016-08-10 00:00:00,Partner,Transfer,9,2016
22509,2 months,A738938,Cat,,domestic longhair,black,,2016-09-23 00:00:00,,Adoption,11,2016
22510,10 years,A722011,Cat,Tango,domestic shorthair,black,,2006-03-09 00:00:00,Foster,Adoption,8,2016
22511,1 year,A738902,Cat,,domestic shorthair,Breed Specific,,2015-11-23 00:00:00,Partner,Transfer,11,2016
22512,1 month,A751690,Cat,Ivy,domestic shorthair,brown,,2017-04-19 00:00:00,,Adoption,6,2017
22513,2 years,A731835,Cat,*Mortimer,domestic mediumhair,gray,,2014-07-28 00:00:00,,Adoption,9,2016
22514,5 years,A712561,Cat,,domestic shorthair,orange,,2010-09-25 00:00:00,SCRP,Transfer,9,2015
22515,1 year,A748851,Cat,,domestic shorthair,black,,2016-05-07 00:00:00,Snr,Transfer,5,2017
22516,2 weeks,A708352,Cat,,domestic shorthair,Breed Specific,,2015-07-07 00:00:00,Partner,Transfer,7,2015
22517,6 years,A762082,Cat,Blaze,domestic longhair,Breed Specific,,2011-03-16 00:00:00,,Rto-Adopt,12,2017
22518,1 year,A726617,Cat,Luna,domestic shorthair,Breed Specific,,2015-05-12 00:00:00,Foster,Adoption,8,2016
22519,1 month,A751641,Cat,,domestic mediumhair,black,white,2017-04-10 00:00:00,Suffering,Euthanasia,6,2017
22520,2 months,A738552,Cat,*Beatrix,domestic shorthair,black,,2016-10-10 00:00:00,,Adoption,12,2016
22521,11 years,A716871,Cat,Tori,domestic longhair,Breed Specific,,2005-12-02 00:00:00,Partner,Transfer,11,2017
22522,1 month,A749467,Cat,*Frances,domestic mediumhair,brown ,white,2017-04-23 00:00:00,,Adoption,6,2017
22523,4 months,A754043,Cat,Raja,domestic shorthair,orange,,2017-04-29 00:00:00,,Adoption,9,2017
22524,1 year,A708608,Cat,Star,siamese,lynx,,2014-07-29 00:00:00,,Adoption,8,2015
22525,2 weeks,A759425,Cat,,american shorthair,Breed Specific,black,2017-09-16 00:00:00,Partner,Transfer,10,2017
22526,5 years,A701702,Cat,*Patches,domestic mediumhair,Breed Specific,,2010-05-03 00:00:00,,Adoption,5,2015
22527,8 years,A740286,Cat,*Sahara,domestic longhair,Breed Specific,,2008-12-14 00:00:00,,Adoption,1,2017
22528,3 weeks,A703072,Cat,,domestic shorthair,Breed Specific,,2015-04-28 00:00:00,Partner,Transfer,5,2015
22529,2 weeks,A706071,Cat,,domestic shorthair,brown,,2015-06-09 00:00:00,Partner,Transfer,6,2015
22530,3 years,A741315,Cat,*Frankie,domestic shorthair,brown ,white,2013-12-30 00:00:00,,Adoption,1,2017
22531,4 weeks,A762967,Cat,,domestic shorthair,black,white,2017-10-30 00:00:00,Partner,Transfer,12,2017
22532,3 months,A707456,Cat,*Lara,domestic longhair,blue,,2015-05-29 00:00:00,Foster,Adoption,9,2015
22533,9 years,A723898,Cat,Mittens,domestic shorthair,Breed Specific,,2007-04-08 00:00:00,Foster,Adoption,2,2017
22534,2 months,A759798,Cat,,domestic shorthair,blue ,white,2017-08-07 00:00:00,Partner,Transfer,10,2017
22535,2 months,A739349,Cat,,domestic shorthair,blue,,2016-10-01 00:00:00,Partner,Transfer,12,2016
22536,1 year,A760803,Cat,,domestic shorthair,blue,,2016-10-24 00:00:00,Snr,Transfer,10,2017
22537,3 years,A750147,Cat,,domestic shorthair,brown ,white,2014-05-23 00:00:00,Partner,Transfer,6,2017
22538,2 months,A754204,Cat,,domestic shorthair,blue,,2017-05-11 00:00:00,Snr,Transfer,8,2017
22539,2 months,A703370,Cat,Barnaby,domestic shorthair,black,,2015-04-26 00:00:00,Foster,Adoption,7,2015
22540,2 years,A753998,Cat,Jungle,domestic shorthair,black,,2015-04-21 00:00:00,,Adoption,7,2017
22541,2 months,A703184,Cat,,domestic shorthair,brown ,white,2015-05-08 00:00:00,,Adoption,7,2015
22542,4 days,A746692,Cat,,domestic shorthair,brown,,2017-04-03 00:00:00,Partner,Transfer,4,2017
22543,3 years,A763273,Cat,Sylvie,domestic shorthair,Breed Specific,,2014-12-06 00:00:00,,Return to Owner,12,2017
22544,2 years,A742114,Cat,Jones,domestic shorthair,brown,,2015-01-15 00:00:00,Partner,Transfer,7,2017
22545,2 months,A758956,Cat,,domestic shorthair,gray,,2017-07-09 00:00:00,Snr,Transfer,9,2017
22546,3 years,A701797,Cat,Emerald,domestic shorthair,black,,2012-05-04 00:00:00,Partner,Transfer,5,2015
22547,10 years,A750574,Cat,*Potzi,domestic shorthair,orange,,2007-01-25 00:00:00,,Adoption,6,2017
22548,2 months,A734824,Cat,,domestic shorthair,blue,,2016-08-11 00:00:00,Partner,Transfer,10,2016
22549,2 months,A711313,Cat,*Heather,domestic shorthair,Breed Specific,,2015-07-05 00:00:00,Partner,Transfer,9,2015
22550,3 years,A709416,Cat,Sampson,domestic shorthair,blue ,white,2012-08-08 00:00:00,,Adoption,8,2015
22551,4 weeks,A736069,Cat,,domestic shorthair,black,white,2016-09-03 00:00:00,Suffering,Euthanasia,10,2016
22552,4 months,A708835,Cat,,domestic shorthair,black,white,2015-07-30 00:00:00,Foster,Adoption,12,2015
22553,1 month,A730991,Cat,,domestic shorthair,Breed Specific,,2016-06-07 00:00:00,Partner,Transfer,7,2016
22554,1 month,A713369,Cat,,domestic shorthair,white,blue,2015-10-01 00:00:00,Partner,Transfer,11,2015
22555,3 months,A753981,Cat,,domestic shorthair,orange ,white,2017-04-13 00:00:00,Snr,Transfer,7,2017
22556,2 years,A739975,Cat,,domestic shorthair,blue,,2014-12-09 00:00:00,SCRP,Transfer,12,2016
22557,3 months,A734335,Cat,*Blanca,siamese,lynx,,2016-08-08 00:00:00,In Foster,Died,12,2016
22558,1 year,A737010,Cat,Argo,siamese,silver lynx,,2015-10-20 00:00:00,,Return to Owner,10,2016
22559,4 months,A761742,Cat,,american shorthair,white,black,2017-07-08 00:00:00,,Adoption,11,2017
22560,8 months,A744633,Cat,Tiger,domestic shorthair,orange,,2016-12-04 00:00:00,,Adoption,8,2017
22561,4 months,A714041,Cat,*Annie,domestic shorthair,brown ,white,2015-09-10 00:00:00,Foster,Adoption,1,2016
22562,3 months,A754501,Cat,*Muffin,domestic shorthair,brown ,white,2017-06-21 00:00:00,,Adoption,9,2017
22563,7 months,A708855,Cat,Steve,domestic shorthair,black,,2015-06-01 00:00:00,,Return to Owner,1,2016
22564,5 years,A747799,Cat,,domestic shorthair,white,black,2012-04-25 00:00:00,Partner,Transfer,4,2017
22565,12 years,A724223,Cat,*Teddy,domestic shorthair,orange,,2004-04-14 00:00:00,Partner,Transfer,4,2016
22566,1 year,A699225,Cat,*Josie,domestic shorthair,Breed Specific,,2014-03-24 00:00:00,Foster,Adoption,10,2015
22567,4 years,A708601,Cat,Savannah,domestic shorthair,blue,,2011-07-29 00:00:00,,Adoption,8,2015
22568,5 months,A714755,Cat,*Lolly,domestic shorthair,blue,white,2015-09-30 00:00:00,Foster,Adoption,3,2016
22569,1 year,A730925,Cat,*Appia,domestic shorthair,black,white,2015-07-13 00:00:00,Partner,Transfer,7,2016
22570,4 months,A736647,Cat,*Dana,domestic shorthair,black,,2016-07-14 00:00:00,,Adoption,11,2016
22571,2 years,A734761,Cat,*Callie,domestic shorthair,Breed Specific,,2014-09-12 00:00:00,Foster,Adoption,2,2017
22572,1 year,A759647,Cat,Puddin,domestic shorthair,black,,2016-10-05 00:00:00,,Adoption,10,2017
22573,5 months,A760259,Cat,,domestic shorthair,orange ,white,2017-05-15 00:00:00,Snr,Transfer,10,2017
22574,7 years,A525592,Cat,Lucky,domestic shorthair,brown,,2007-10-21 00:00:00,,Adoption,6,2015
22575,4 years,A720253,Cat,Boy Cat,domestic shorthair,brown,,2012-02-15 00:00:00,,Adoption,6,2016
22576,4 months,A763796,Cat,,domestic shorthair,brown,,2017-08-16 00:00:00,Snr,Transfer,12,2017
22577,2 years,A757407,Cat,*Ciprolina,domestic shorthair,cream,,2015-09-02 00:00:00,,Adoption,9,2017
22578,2 months,A750994,Cat,Bobby Doug.,domestic shorthair,brown,,2017-03-19 00:00:00,,Adoption,6,2017
22579,2 months,A710801,Cat,,domestic shorthair,brown ,white,2015-06-12 00:00:00,,Adoption,9,2015
22580,2 days,A702950,Cat,,domestic shorthair,gray,white,2015-05-17 00:00:00,Partner,Transfer,5,2015
22581,5 years,A749320,Cat,*Norm,domestic shorthair,black,white,2012-05-13 00:00:00,Partner,Transfer,5,2017
22582,4 years,A722079,Cat,Duke Ellingt,domestic shorthair,brown,,2012-03-10 00:00:00,,Return to Owner,4,2016
22583,1 year,A749479,Cat,*Midge,domestic shorthair,brown,,2016-05-15 00:00:00,,Adoption,6,2017
22584,1 month,A733431,Cat,*Peanut,domestic shorthair,black,,2016-07-16 00:00:00,Partner,Transfer,9,2016
22585,1 month,A733844,Cat,,domestic longhair,brown ,white,2016-07-21 00:00:00,Suffering,Euthanasia,8,2016
22586,1 year,A738257,Cat,*Max,domestic shorthair,black,,2015-11-11 00:00:00,Partner,Transfer,12,2016
22587,3 months,A741865,Cat,Finn,domestic shorthair,brown,,2016-10-10 00:00:00,,Adoption,1,2017
22588,4 months,A712861,Cat,*Ajax,domestic shorthair,black,white,2015-05-14 00:00:00,Partner,Transfer,10,2015
22589,3 months,A726196,Cat,*Keaton,domestic shorthair,silver ,white,2016-04-07 00:00:00,Foster,Adoption,7,2016
22590,2 months,A734355,Cat,*Carol,domestic shorthair,blue,,2016-08-14 00:00:00,Partner,Transfer,10,2016
22591,3 weeks,A705475,Cat,,domestic shorthair,brown ,white,2015-05-26 00:00:00,Suffering,Euthanasia,6,2015
22592,3 months,A747371,Cat,*Peanut,domestic longhair,brown,,2017-03-13 00:00:00,Foster,Adoption,6,2017
22593,2 days,A737297,Cat,,domestic shorthair,Breed Specific,,2016-10-23 00:00:00,Partner,Transfer,10,2016
22594,2 months,A706329,Cat,*Flopsy,domestic shorthair,brown,,2015-06-05 00:00:00,Offsite,Adoption,8,2015
22595,2 years,A729913,Cat,,domestic longhair,white,blue,2014-06-25 00:00:00,SCRP,Transfer,6,2016
22596,3 months,A753381,Cat,,domestic shorthair,black,white,2017-04-05 00:00:00,Snr,Transfer,7,2017
22597,3 months,A739606,Cat,*Cooper,domestic longhair,orange ,white,2016-09-05 00:00:00,,Adoption,12,2016
22598,3 months,A731902,Cat,Olympia,domestic shorthair,white,brown,2016-04-29 00:00:00,,Adoption,8,2016
22599,1 year,A728624,Cat,Kucho,domestic shorthair,black,white,2016-05-08 00:00:00,,Adoption,12,2017
22600,1 year,A717734,Cat,Cholula,domestic shorthair,brown,,2014-12-13 00:00:00,,Adoption,12,2015
22601,2 months,A750887,Cat,,domestic shorthair,blue,,2017-05-01 00:00:00,In Kennel,Died,7,2017
22602,8 months,A749985,Cat,,domestic shorthair,Breed Specific,,2016-09-22 00:00:00,Snr,Transfer,5,2017
22603,2 months,A700762,Cat,Dom,domestic shorthair,cream,,2015-03-19 00:00:00,Foster,Adoption,6,2015
22604,4 months,A706313,Cat,*Carlton,domestic longhair,black,white,2015-04-20 00:00:00,,Adoption,8,2015
22605,3 months,A717929,Cat,*Cinnamon,domestic longhair,Breed Specific,,2015-09-17 00:00:00,,Adoption,12,2015
22606,1 weeks,A702058,Cat,,domestic shorthair,black,,2015-04-27 00:00:00,Partner,Transfer,5,2015
22607,2 months,A756823,Cat,Hurricane,domestic shorthair,black,,2017-06-25 00:00:00,,Adoption,8,2017
22608,1 month,A733208,Cat,,domestic shorthair,black,,2016-07-11 00:00:00,Partner,Transfer,8,2016
22609,2 months,A749850,Cat,,domestic shorthair,orange ,white,2017-03-05 00:00:00,,Adoption,5,2017
22610,8 months,A711675,Cat,*Dusty,domestic shorthair,blue,white,2015-01-10 00:00:00,,Adoption,9,2015
22611,2 months,A754494,Cat,*Angus,domestic shorthair,white,blue,2017-06-15 00:00:00,Foster,Adoption,9,2017
22612,1 month,A735101,Cat,*Billy,domestic mediumhair,white,brown,2016-08-03 00:00:00,,Adoption,9,2016
22613,1 year,A752938,Cat,*Sandra,domestic shorthair,Breed Specific,black,2016-06-29 00:00:00,Partner,Transfer,7,2017
22614,2 years,A713371,Cat,Oakley,domestic shorthair,Breed Specific,,2013-10-06 00:00:00,,Return to Owner,10,2015
22615,3 months,A750299,Cat,*Star,domestic longhair,brown,,2017-04-25 00:00:00,Partner,Transfer,8,2017
22616,1 year,A753772,Cat,*Calene,siamese,Breed Specific,white,2016-07-11 00:00:00,,Adoption,8,2017
22617,6 days,A755428,Cat,,domestic shorthair,brown,,2017-07-28 00:00:00,Partner,Transfer,8,2017
22618,3 years,A736003,Cat,*Madeline,siamese,Breed Specific,,2013-10-02 00:00:00,Partner,Transfer,11,2016
22619,3 months,A753960,Cat,*Billy,domestic shorthair,lynx,,2017-04-13 00:00:00,,Adoption,7,2017
22620,10 months,A746943,Cat,,domestic shorthair,Breed Specific,,2016-06-11 00:00:00,,Adoption,4,2017
22621,2 months,A702377,Cat,Polydactyl,ragdoll,lynx,,2015-03-07 00:00:00,,Return to Owner,5,2015
22622,2 months,A739577,Cat,,domestic shorthair,orange ,white,2016-11-08 00:00:00,Foster,Adoption,1,2017
22623,2 years,A744019,Cat,*Merlin,domestic shorthair,blue,white,2015-02-21 00:00:00,,Adoption,3,2017
22624,2 weeks,A710344,Cat,,domestic shorthair,brown,,2015-08-07 00:00:00,Partner,Transfer,8,2015
22625,2 months,A747609,Cat,*Dumpling,domestic shorthair,black,,2017-03-29 00:00:00,Foster,Adoption,6,2017
22626,2 months,A726385,Cat,*Azul,domestic longhair,blue,white,2016-04-10 00:00:00,,Adoption,6,2016
22627,4 years,A751038,Cat,Binky,siamese,lynx,,2013-06-03 00:00:00,,Adoption,6,2017
22628,6 years,A743082,Cat,Amba,himalayan,white,,2011-02-03 00:00:00,,Return to Owner,2,2017
22629,8 years,A728178,Cat,*Ethel,domestic shorthair,white,blue,2008-05-31 00:00:00,Partner,Transfer,6,2016
22630,2 months,A707368,Cat,Pig,domestic shorthair,black,,2015-05-27 00:00:00,,Adoption,7,2015
22631,3 months,A762751,Cat,,domestic shorthair,orange ,white,2017-08-20 00:00:00,,Adoption,12,2017
22632,2 years,A732918,Cat,,domestic shorthair,orange,,2014-08-14 00:00:00,Suffering,Euthanasia,8,2016
22633,2 months,A758300,Cat,*Bunny,domestic shorthair,Breed Specific,white,2017-08-13 00:00:00,,Adoption,11,2017
22634,9 years,A726847,Cat,*Orrin,domestic shorthair,orange,,2007-05-15 00:00:00,,Adoption,7,2016
22635,1 year,A758819,Cat,Gracie,domestic shorthair,white,blue,2016-09-27 00:00:00,,Adoption,10,2017
22636,1 year,A710862,Cat,Clyde,domestic shorthair,brown,,2014-08-29 00:00:00,Partner,Transfer,9,2015
22637,2 months,A729423,Cat,*Augie,siamese,lynx ,white,2016-05-03 00:00:00,Foster,Adoption,7,2016
22638,2 years,A725351,Cat,,domestic shorthair,brown,,2014-04-28 00:00:00,SCRP,Transfer,5,2016
22639,1 year,A712811,Cat,Sofia,domestic shorthair,black,,2014-09-28 00:00:00,,Return to Owner,9,2015
22640,1 year,A758726,Cat,Maggie,domestic shorthair,black,,2016-09-20 00:00:00,,Adoption,10,2017
22641,4 months,A763168,Cat,*Jackie,domestic shorthair,blue,,2017-07-27 00:00:00,Partner,Transfer,12,2017
22642,4 months,A758973,Cat,,american shorthair,black,white,2017-05-24 00:00:00,Snr,Transfer,9,2017
22643,2 months,A761925,Cat,*Chalula,domestic mediumhair,black,,2017-10-04 00:00:00,Foster,Adoption,12,2017
22644,1 year,A747694,Cat,*Marmalade,domestic shorthair,orange ,white,2015-10-23 00:00:00,Partner,Transfer,5,2017
22645,5 months,A733500,Cat,,domestic shorthair,orange ,white,2016-09-15 00:00:00,Foster,Adoption,2,2017
22646,2 months,A738653,Cat,*Hailee,domestic shorthair,brown ,white,2016-11-19 00:00:00,Foster,Adoption,2,2017
22647,3 months,A730612,Cat,,domestic shorthair,black,white,2016-04-04 00:00:00,SCRP,Transfer,7,2016
22648,3 years,A729280,Cat,,siamese,seal,,2013-06-15 00:00:00,SCRP,Transfer,6,2016
22649,2 months,A751407,Cat,*Clark,domestic shorthair,brown ,white,2017-03-24 00:00:00,Partner,Transfer,6,2017
22650,1 month,A732234,Cat,,manx,blue,,2016-07-13 00:00:00,Partner,Transfer,9,2016
22651,2 months,A761335,Cat,Rascal,domestic shorthair,black,white,2017-09-17 00:00:00,,Adoption,12,2017
22652,1 month,A701078,Cat,*Orville,domestic shorthair,silver ,white,2015-03-23 00:00:00,,Adoption,5,2015
22653,1 weeks,A710413,Cat,,domestic shorthair,blue,,2015-08-09 00:00:00,Partner,Transfer,8,2015
22654,1 year,A715132,Cat,,siamese,lynx ,white,2014-10-31 00:00:00,SCRP,Transfer,11,2015
22655,1 year,A753009,Cat,,domestic shorthair,blue ,white,2016-06-30 00:00:00,Snr,Transfer,7,2017
22656,2 years,A755822,Cat,Scooter,domestic shorthair,brown ,white,2015-08-09 00:00:00,Partner,Transfer,8,2017
22657,2 months,A704202,Cat,,domestic shorthair,brown,,2015-03-26 00:00:00,,Adoption,6,2015
22658,4 months,A712583,Cat,*Ernestine,domestic shorthair,cream ,white,2015-09-09 00:00:00,Foster,Adoption,2,2016
22659,2 weeks,A731272,Cat,,domestic shorthair,Breed Specific,,2016-07-02 00:00:00,Partner,Transfer,7,2016
22660,4 months,A762062,Cat,,domestic shorthair,brown ,white,2017-07-14 00:00:00,Snr,Transfer,11,2017
22661,1 weeks,A702028,Cat,,domestic longhair,black ,white,2015-04-29 00:00:00,Partner,Transfer,5,2015
22662,8 years,A738781,Cat,*Esme,domestic shorthair,Breed Specific,,2008-11-20 00:00:00,Partner,Transfer,1,2017
22663,3 months,A701041,Cat,Munchkin,domestic shorthair,brown,,2015-04-04 00:00:00,,Return to Owner,7,2015
22664,3 months,A710491,Cat,*Cupcake,domestic longhair,black,white,2015-07-24 00:00:00,Foster,Adoption,10,2015
22665,7 months,A749302,Cat,Potter,domestic shorthair,brown ,white,2017-03-13 00:00:00,,Rto-Adopt,11,2017
22666,2 years,A737207,Cat,Cornelius,domestic shorthair,white,brown,2014-10-23 00:00:00,Partner,Transfer,9,2017
22667,8 years,A749386,Cat,,domestic mediumhair,brown,buff,2009-05-14 00:00:00,Suffering,Euthanasia,5,2017
22668,2 years,A721003,Cat,,domestic shorthair,Breed Specific,,2014-02-19 00:00:00,SCRP,Transfer,2,2016
22669,1 year,A700115,Cat,,domestic shorthair,black,,2014-04-08 00:00:00,,Adoption,4,2015
22670,2 years,A702514,Cat,,domestic shorthair,cream,,2013-05-14 00:00:00,SCRP,Transfer,5,2015
22671,2 years,A729901,Cat,,domestic shorthair,blue,,2014-06-25 00:00:00,SCRP,Transfer,6,2016
22672,2 weeks,A711722,Cat,,domestic shorthair,brown,,2015-08-28 00:00:00,Partner,Transfer,9,2015
22673,5 days,A731852,Cat,,domestic shorthair,black,white,2016-07-23 00:00:00,Partner,Transfer,7,2016
22674,3 weeks,A727995,Cat,,domestic longhair,brown,,2016-05-07 00:00:00,Partner,Transfer,5,2016
22675,1 week,A753274,Cat,,domestic shorthair,black,,2017-06-27 00:00:00,Partner,Transfer,7,2017
22676,3 weeks,A752943,Cat,,domestic shorthair,black,white,2017-06-15 00:00:00,Partner,Transfer,7,2017
22677,12 years,A759673,Cat,Major,domestic longhair,black,black,2005-10-05 00:00:00,,Adoption,10,2017
22678,2 years,A716447,Cat,Doodle,domestic shorthair,black,,2013-09-19 00:00:00,Partner,Transfer,11,2015
22679,5 years,A712277,Cat,*Farrah,domestic shorthair,Breed Specific,,2010-09-20 00:00:00,,Adoption,10,2015
22680,2 months,A706830,Cat,,domestic shorthair,brown,,2015-04-18 00:00:00,,Adoption,7,2015
22681,3 months,A764135,Cat,,domestic shorthair,brown,,2017-09-07 00:00:00,,Adoption,12,2017
22682,1 year,A753090,Cat,,domestic mediumhair,black,white,2016-07-01 00:00:00,Snr,Transfer,7,2017
22683,2 months,A747710,Cat,*Onyx,domestic shorthair,black,,2017-03-16 00:00:00,Foster,Adoption,5,2017
22684,5 months,A714303,Cat,Little Grey,domestic mediumhair,brown,,2015-05-21 00:00:00,,Adoption,10,2015
22685,3 months,A736735,Cat,Caleb,domestic shorthair,white,brown,2016-07-16 00:00:00,,Adoption,10,2016
22686,1 month,A745558,Cat,,domestic shorthair,black,white,2017-01-21 00:00:00,Partner,Transfer,3,2017
22687,2 weeks,A700929,Cat,,domestic mediumhair,white,orange,2015-04-06 00:00:00,Partner,Transfer,4,2015
22688,1 year,A733603,Cat,,domestic shorthair,Breed Specific,,2015-08-24 00:00:00,SCRP,Transfer,8,2016
22689,10 years,A763370,Cat,Veruca,domestic shorthair,brown,,2007-12-08 00:00:00,,Return to Owner,12,2017
22690,2 years,A710682,Cat,,domestic shorthair,white,,2013-08-26 00:00:00,SCRP,Transfer,8,2015
22691,2 months,A726369,Cat,,domestic mediumhair,Breed Specific,,2016-04-18 00:00:00,,Adoption,7,2016
22692,2 years,A735969,Cat,Dallas,domestic longhair,brown ,white,2014-10-02 00:00:00,,Adoption,10,2016
22693,1 year,A698924,Cat,Kit Cat,domestic shorthair,brown ,white,2014-03-19 00:00:00,Foster,Adoption,4,2015
22694,2 months,A758904,Cat,,domestic shorthair,brown ,white,2017-07-23 00:00:00,Partner,Transfer,9,2017
22695,2 days,A700300,Cat,,domestic shorthair,blue,,2015-04-09 00:00:00,Partner,Transfer,4,2015
22696,2 months,A713346,Cat,,domestic mediumhair,blue,,2015-09-07 00:00:00,,Adoption,11,2015
22697,2 months,A763945,Cat,,domestic shorthair,black,,2017-10-18 00:00:00,,Adoption,12,2017
22698,1 year,A701741,Cat,,domestic shorthair,orange ,white,2014-05-04 00:00:00,SCRP,Transfer,5,2015
22699,2 months,A737520,Cat,,domestic shorthair,orange ,white,2016-10-30 00:00:00,Foster,Adoption,1,2017
22700,1 year,A743890,Cat,,domestic shorthair,black,,2016-02-18 00:00:00,At Vet,Euthanasia,2,2017
22701,3 months,A702608,Cat,*Emily,domestic shorthair,Breed Specific,,2015-04-15 00:00:00,Foster,Adoption,7,2015
22702,1 month,A703289,Cat,,domestic shorthair,lynx,,2015-04-01 00:00:00,Partner,Transfer,5,2015
22703,2 years,A716692,Cat,Madonna,domestic mediumhair,Breed Specific,,2013-11-23 00:00:00,,Adoption,12,2015
22704,2 months,A752127,Cat,*Teddy,domestic shorthair,brown,,2017-05-11 00:00:00,Foster,Adoption,7,2017
22705,3 months,A738708,Cat,Ginger,domestic shorthair,Breed Specific,,2016-10-18 00:00:00,Foster,Adoption,1,2017
22706,1 year,A729103,Cat,Clementine,domestic shorthair,blue,,2015-06-13 00:00:00,,Return to Owner,6,2016
22707,5 months,A707979,Cat,,siamese,lynx,,2015-06-28 00:00:00,Foster,Adoption,12,2015
22708,1 year,A743727,Cat,*Victoria,domestic shorthair,black,,2016-02-15 00:00:00,,Adoption,3,2017
22709,1 month,A708248,Cat,*Wynnie,domestic shorthair,brown ,white,2015-07-02 00:00:00,,Adoption,8,2015
22710,1 month,A728657,Cat,Razzy,domestic shorthair,black,,2016-05-05 00:00:00,,Adoption,6,2016
